40000 B.C.  	Cro-Magnon man (homo sapiens) is active in Europe and the Middle East.
1849      	Black slave Harriet Tubman escapes and begins her Underground Railway work.
1849      	Elizabeth Blackwell becomes the first woman to obtain a medical degree.
1849      	Francois Rene de Chateaubriand publishes Memoirs From Beyond the Tomb.
1849      	French physicist Armand Fizeau measures the velocity of light.
1849      	Lajos Kossuth declares Hungarian independence from Austria.
1849      	Russian anarchist Mikhail Bakunin is deported to Siberia.
1849      	Taylor is inaugurated as the 12th U.S. president; Fillmore becomes vice-president
1850      	Allan Pinkerton founds the Pinkerton National Detective Agency.
1850      	American author Nathaniel Hawthorne writes The Scarlet Letter.
1850      	American popular songwriter Stephen Foster publishes Camptown Races.
1850      	California is inaugurated as the 31st state of the Union.
1850      	Congress reinforces the Fugitive Slave Law for the return of escaped slaves.
1850      	Elizabeth Barrett Browning publishes her Sonnets From the Portuguese.
1850      	English author Charles Dickens writes David Copperfield.
1850      	French realist artist Gustave Courbet paints The Stone Breakers.
1850      	Jenny Lind the Swedish nightingale begins her U.S. tour.
1850      	Photographer Mathew Brady publishes The Gallery of Illustrious Americans.
1850      	President Taylor dies; Millard Fillmore is inaugurated as the 13th U.S. president.
1850      	The Compromise of 1850 establishes California as a non-slavery state.
1850      	The Taiping Rebellion breaks out in China against the Ch'ing dynasty.
1850      	The first issue of Harper's magazine is published.
1851      	A gold rush begins in Victoria, Australia; Victoria becomes a separate colony.
1851      	American author Herman Melville publishes Moby-Dick.
1851      	Giuseppe Verdi's opera Rigoletto is produced in Venice.
1851      	Harriet Beecher Stowe begins publishing Uncle Tom's Cabin.
1851      	Henry Jarvis Raymond and George Jones found the New York Times.
1851      	Isaac Merrit Singer invents the first practical sewing machine.
1851      	Jacob Fussell begins making ice cream in commercial quantities in Baltimore.
1851      	Mongkut (Rama IV) becomes king of Siam (Thailand).
1851      	The Crystal Palace is built in London to house the Great Exhibition.
1851      	The U.S. yacht America defeats 17 British yachts in the first America's Cup contest.
1851      	The first college sorority is established at Wesleyan College, Georgia.
1852      	Argentinean dictator Rosas is defeated by forces under Urquiza at Monte Caseros.
1852      	Britain gains control of the Irrawaddy delta after the second Anglo-Burma War.
1852      	The Grimms begin publication of their Deutsches Worterbuch (German Dictionary).
1852      	The Second Empire begins in France under Napoleon III.
1853      	A U.S. naval squadron under Matthew Perry enters Tokyo Bay to negotiate a treaty.
1853      	Chinese rebels capture Nanking and make it the capital of the Taiping kingdom.
1853      	Franklin Pierce is inaugurated as the 14th U.S. president; King becomes vice-president.
1853      	General Santa Anna becomes dictator of Mexico for the last time.
1853      	Georges Haussmann begins the reconstruction of Paris.
1853      	Napoleon III marries the Empress Eugenie.
1853      	Richard Wagner begins his cycle of four operas The Ring of The Nibelung.
1853      	Russia occupies the Turkish principalities of Moldavia and Walachia.
1853      	The U.S. adds land to New Mexico and Arizona with the Gadsden Purchase.
1853      	Turkey issues an ultimatum to Russia; the Russians destroy the Turkish fleet at Sinope.
1854      	A commercial treaty is signed between the U.S. and Japan, ending Japanese isolation.
1854      	American writer and naturalist Henry David Thoreau publishes Walden.
1854      	An Anglo-French-Turkish expeditionary force lands at Sevastopol in the Crimea.
1854      	Britain and France declare war on Russia, beginning the Crimean War.
1854      	Pope Pius IX proclaims the dogma of the Immaculate Conception of the Virgin Mary.
1854      	Pre-Raphaelite artist Holman Hunt paints The Scapegoat.
1854      	The Allied armies defeat the Russians at the Battle of Inkerman.
1854      	The British grant independence to the Orange Free State in South Africa.
1854      	The Charge of the Light Brigade is made by the British during the Battle of Balaklava.
1854      	The Kansas-Nebraska Act reopens the controversy over the spread of slavery.
1854      	The Republican party is formed after the passage of the Kansas-Nebraska Act.
1855      	British photographer Roger Fenton documents the Crimean War.
1855      	Florence Nightingale reforms hygienic standards in Crimean hospitals.
1855      	Henry Wadsworth Longfellow publishes The Songs of Hiawatha.
1855      	Lord Palmerston becomes prime minister of Great Britain for the first time.
1855      	Matthew Fontaine Maury publishes The Physical Geography of the Sea.
1855      	Mexican dictator Santa Anna is overthrown.
1855      	Nicholas I, Emperor of Russia dies; he is succeeded by his son Alexander II.
1855      	Robert Browning publishes his poetry collection Men and Women.
1855      	Scottish explorer David Livingstone discovers the Victoria Falls in Africa.
1855      	The Allies occupy the Russian fortress at Sevastapol in the Crimea.
1855      	The first formal ice hockey game is played in Kingston, Ontario.
1855      	Walt Whitman publishes his first book of poetry, the Leaves of Grass.
1856      	A new Opium War begins between China, Britain and France.
1856      	English chemist William Perkin discovers synthetic dyes.
1856      	The Treaty of Paris ends the Crimean War.
1856      	The first Neanderthaler (prehistoric human) skeleton is discovered in Germany.
1856      	Victor Hugo writes Les Miserables during his exile from France.
1857      	Buchanan is inaugurated as the 15th U.S. president; Breckinridge becomes vice-president.
1857      	Disputes between Mormons and non-Mormon settlers leads to the Utah War.
1857      	Elisha Graves Otis installs the first passenger elevator in a New York City store.
1857      	English author Thomas Hughes publishes Tom Brown's Schooldays.
1857      	French novelist Gustave Flaubert publishes Madame Bovary.
1857      	French poet Baudelaire publishes Flowers of Evil and is arrested for immorality.
1857      	Mormons and Paiute Indians kill 120 settlers in the Mountain Meadows Massacre.
1857      	The Indian Mutiny begins when Indian troops rebel against the British in Meerut.
1857      	The Oxford English Dictionary is begun in England.
1858      	Benito Juarez becomes the first Mexican president of Indian descent.
1858      	Britain and France impose the Tientsin Treaty on China.
1858      	British explorer John Hanning Speke discovers Lake Victoria in Africa.
1858      	British naturalist Alfred Russel Wallace outlines his theories of evolution.
1858      	Charles Frederick Worth establishes his Paris fashion house.
1858      	Cyrus W. Field lays the first transatlantic telegraph cable.
1858      	Federal forces end the Utah War; Brigham Young is replaced as governor of Utah Territory.
1858      	French photographer Nadar takes the first aerial photograph from a balloon.
1858      	German-American artist Albert Bierstadt begins his landscapes of the American west.
1858      	Jacques Offenbach's operetta Orpheus in the Underworld premiers in Paris.
1858      	James Renwick begins the design of Saint Patrick's Cathedral in New York City.
1858      	Minnesota is inaugurated as the 32nd state of the Union.
1858      	The Fenians (Irish Republican Brotherhood) are founded to overthrow British rule.
1858      	The Indian Mutiny is suppressed by the British Army and loyal Indian troops.
1858      	The government of India is transferred from the East India Company to the British crown.
1859      	Abolitionist John Brown leads an attack on Harpers Ferry; he is captured and executed.
1859      	Charles Darwin publishes On the Origin of Species by Means of Natural Selection.
1859      	Ferdinand de Lesseps begins building the Suez Canal in Egypt.
1859      	French inventor Ferdinand Carre develops a refrigeration system.
1859      	Napoleon III assists the Italian statesman Cavour in a war against Austria.
1859      	Oregon is inaugurated as the 33rd state of the Union.
1859      	Queensland becomes a separate colony of Australia.
1860      	Abraham Lincoln is elected as the first Republican president of the United States.
1860      	China resists the Tientsin Treaty; Anglo-French forces occupy Peking.
1860      	English novelist Wilkie Collins writes The Woman in White.
1860      	Florence Nightingale establishes a school for training nurses.
1860      	George Eliot (Mary Anne Evans) publishes The Mill on the Floss.
1860      	Italian patriot Garibaldi invades Sicily and Naples with his 1,000 Redshirts.
1860      	Jean Joseph Etienne Lenoir patents the first internal-combustion engine.
1860      	Sardinia-Piedmont seizes the Papal States in Italy.
1860      	South Carolina becomes the first Southern state to secede from the Union.
1860      	The Crittenden Compromise tries to prevent a split between slave and free states.
1860      	The Maori Wars begin against the British in New Zealand.
1860      	The pony express is inaugurated to deliver mail from Missouri to California.
1861      	American locksmith Linus Yale Jr. patents the cylinder lock.
1861      	English designer William Morris starts the Arts and Crafts Movement.
1861      	Explorers Burke and Wills die during their north-south crossing of Australia.
1861      	French artist Eugene Delacroix paints the Lion Hunt.
1861      	General George B. McClellan is made commander of the Union forces.
1861      	Italy is unified under Victor Emmanuel II.
1861      	John Ericsson designs the Monitor, the first ship with a revolving gun-turret.
1861      	Kansas is inaugurated as the 34th state of the Union.
1861      	Lincoln is inaugurated as the 16th U.S. president; Hamlin becomes vice-president.
1861      	Nicholas II abolishes serfdom in Russia.
1861      	The Confederate States of America declare their independence from the U.S.
1861      	The Confederates defeat the Union army in the First Battle of Bull Run.
1861      	The Southern states meet to draft a constitution; Davis is selected as president.
1861      	The Trent Affair begins when a Union ship intercepts a British steamer.
1861      	The United States introduce the first national income tax.
1861      	The bombardment of Fort Sumter in Charleston Harbor begins the U.S. Civil War.
1862      	A Union fleet under David G. Farragut captures New Orleans.
1862      	Bartolome Mitre unites Argentina and is elected president.
1862      	Brady, O'Sullivan and Gardner document the Civil War in photographs.
1862      	Explorer John McDouall Stuart makes the first south to north crossing of Australia.
1862      	French actress Sarah Bernhardt makes her debut at the Comedie Francaise.
1862      	French impressionist artist Edouard Manet paints Le Dejeuner sur l'Herbe.
1862      	French physicist Jean Foucault successfully measures the speed of light.
1862      	French writer Victor Hugo completes his social novel Les Miserables.
1862      	Lee defeats the Union army in the Second Battle of Bull Run.
1862      	Lee's Confederate invasion of Maryland is halted at the Battle of Antietam.
1862      	McClellan is defeated in the Seven Days Battle and retreats from the peninsular.
1862      	Napoleon III imposes the Austrian prince Maximilian as emperor of Mexico.
1862      	Richard J. Gatling invents the first practical machine gun.
1862      	Russian novelist Ivan Turgenev publishes Fathers and Sons.
1862      	The first recorded ski competition is held near Oslo in Norway.
1862      	The ironclad warships Monitor and Merrimack clash at Hampton Roads, Va.
1862      	Union forces under Burnside are defeated at the Battle of Fredricksburg.
1862      	Union forces under Grant defeat the Confederates at the Battle of Shiloh.
1862      	Union forces under McClellan begin the Peninsular Campaign to capture Richmond.
1862      	William I appoints Otto von Bismarck as minister president of Prussia.
1863      	Cambodia (Kampuchea) becomes a French protectorate.
1863      	English philosopher John Stuart Mill publishes Utilitarianism.
1863      	French impressionist artist Camille Pissarro exhibits at the Salon des Refuses.
1863      	George I succeeds Otto as king of Greece.
1863      	Grant defeats the Confederates in the Vicksburg Campaign.
1863      	Ismail Pasha rules Egypt under the suzerainty of the Ottoman Empire.
1863      	Lincoln's Emancipation Proclamation abolishes slavery in the Confederate states.
1863      	London's Metropolitan Railway becomes the first underground subway.
1863      	The Confederate guerrilla band Quantrill's Raiders pillage Lawrence, Kansas.
1863      	The Confederates defeat the Union army at Chancellorsville; Jackson is killed.
1863      	The Confederates under Lee are defeated at the Battle of Gettysburg.
1863      	The French occupy Mexico City in support of Maximilian, Emperor of Mexico.
1863      	The London Football Association issues the first soccer rules.
1863      	West Virginia is inaugurated as the 35th state of the Union.
1864      	A Chinese army under Gordon recaptures Nanking and ends the Taiping Rebellion.
1864      	A Union army under Sherman invades Georgia, begining the Atlanta campaign.
1864      	Denmark is defeated by Prussia; Schleswig-Holstein is ceded to Germany.
1864      	Nevada is inaugurated as the 36th state of the Union.
1864      	Paraguayan dictator Francisco Solano Lopez begins the War of the Triple Alliance.
1864      	Sherman defeats the Confederates at Atlanta and begins his march to the sea.
1864      	The Colorado militia massacre Cheyenne Indians at Sand Creek.
1864      	The Confederate submarine Hunley sinks a Federal ship but is sunk in the process.
1864      	The Geneva Convention sets standards of humane treatment in time of war.
1864      	The Ionian Islands are ceded to Greece by Britain.
1864      	The Union launches a drive on Richmond but falters in the Wilderness Campaign.
1864      	Ulysses S. Grant is made general in chief of all the Union armies.
1865      	Andrew Johnson becomes the 17th President of the U.S.
1865      	Confederate forces under Lee surrender to Grant at Appomattox Court House.
1865      	Count Leo Tolstoi begins his monumental Russian novel War and Peace.
1865      	English author Lewis Carroll writes Alice's Adventures in Wonderland.
1865      	Johnston surrenders the last Confederate army to Sherman, ending the U.S. Civil War.
1865      	Lincoln is assassinated by John Wilkes Booth at Ford's Theatre in Washington D.C.
1865      	Russian author Fyodor Dostoevsky publishes Crime and Punishment.
1865      	The 13th Amendment to the U.S. Constitution abolishes slavery.
1865      	The Petersburg Campaign is won by Union forces; Lee evacuates Richmond.
1866      	British engineer Robert Whitehead invents the first self-propelled torpedo.
1866      	Congress authorize (but do not mandate) the use of the metric system in the U.S.
1866      	Mendel publishes his genetic research in Experiments With Plant Hybrids.
1866      	Prussia and Italy defeat Austria in the Seven Weeks' War.
1866      	The Ku Klux Klan is founded in the southern United States.
1867      	Bismark forms the North German Confederation under Prussian leadership.
1867      	Diamond fields are discovered in South Africa.
1867      	English photographer Julia Margaret Cameron takes Sir John Herschel's portrait.
1867      	French troops withdraw from Mexico; Emperor Maximilian is executed by Juarez.
1867      	Karl Marx publishes the first volume of Das Kapital.
1867      	Nebraska is inaugurated as the 37th state of the Union.
1867      	Sir John A. Macdonald becomes Canada's first prime minister.
1867      	The Compromise (Ausgleich) of 1867 creates the Dual Monarchy of Austria-Hungary.
1867      	The Dominion of Canada is established by the British North America Act.
1868      	A military coup led by General Juan Prim deposes Queen Isabella II of Spain.
1868      	A skeleton of Cro-Magnon man is discovered in southern France.
1868      	British labor unions form the Trades Union Congress.
1868      	Christopher Sholes patents the first practical typewriter.
1868      	Chulalongkorn succeeds his father Mongkut as the king of Siam (Thailand).
1868      	Feminists Susan B. Anthony and Elizabeth Cady Stanton publish Revolution.
1868      	Johannes Brahms' A German Requiem is performed for the first time.
1868      	Ndebele king Mzilikazi dies in Africa; he is succeeded (1870) by his son Lobengula.
1868      	The Meiji dynasty is restored in Japan; the Tokugawa shogunate is abolished.
1868      	The Ten Years' War begins in Cuba against Spanish rule.
1868      	U.S. President Andrew Johnson is impeached by Congress but acquitted by the Senate.
1868      	William Gladstone becomes Liberal prime minister of Britain for the first time.
1869      	English author Matthew Arnold publishes Culture and Anarchy.
1869      	French artist Eugene Louis Boudin paints On the Beach at Deauville.
1869      	Grant is inaugurated as the 18th U.S. president; Colfax becomes vice-president.
1869      	James Gordon Bennett Jr. commissions Stanley to search for Livingston in Africa.
1869      	John Roebling designs the Brooklyn Bridge but dies after a construction accident.
1869      	Louis Riel leads the Red River Rebellion in Canada.
1869      	Ludwig II (Mad Ludwig) begins building his fantasy castles in Bavaria.
1869      	Philadelphia garment workers organize the Knights of Labor, an early labor union.
1869      	Pope Pius IX calls the First Vatican Council to discuss the dogma of papal infallibility.
1869      	Russian composer Modest Mussorgsky begins work on his opera Boris Gudunov.
1869      	The Cincinnati Red Stockings become the first professional baseball team.
1869      	The Suez Canal is opened in Egypt.
1869      	The first manufacturing patent is issued for chewing gum.
1869      	The transcontinental railroad is completed at Promontory Point, Utah.
1870      	American industrialist John D. Rockefeller founds the Standard Oil Company.
1870      	French war minister Leon Gambetta escapes from besieged Paris in a balloon.
1870      	German archaeologist Heinrich Schliemann excavates the ancient city of Troy.
1870      	Paraguayan dictator Solano Lopez dies, ending the War of the Triple Alliance.
1870      	Rome becomes the capital of the Kingdom of Italy.
1870      	The Franco-Prussian War begins over a diplomatic incident engineered by Bismark.
1870      	The Prussians defeat the French at Sedan; Napoleon III is taken prisoner.
1870      	The Third Republic is formed in France; a Government of National Defense is established.
1870      	The city of Miami is founded in Florida.
1871      	American explorer Henry Morton Stanley finds Dr. Livingston in central Africa.
1871      	Charles Taze Russell founds the Jehovah's Witnesses about this time.
1871      	Fire destroys one-third of the city of Chicago.
1871      	P.T Barnum launches a traveling circus, museum and menagerie.
1871      	The Franco-Prussian War ends; Alsace and Lorraine are ceded to Germany.
1871      	The French surrender to Prussia incites the Commune of Paris uprising.
1871      	The German Empire is formally proclaimed at the Palace of Versailles.
1871      	The Paris Commune is suppressed by government troops after a 2-month siege.
1872      	American artist James McNeill Whistler paints the Portrait of the Artist's Mother.
1872      	English author George Eliot (Mary Anne Evans) publishes Middlemarch.
1872      	Indian leader Kintpuash leaves the Modoc reservation; the Modoc Wars begin.
1872      	Monet paints Impression: Sunrise; the term impressionism is derived from the title.
1872      	Photographer Eadweard Muybridge begins his series of motion studies.
1872      	The Challenger Expedition begins the first systematic oceanographic survey.
1872      	The cities of Buda and Pest unite to form Budapest (the capital of Hungary from 1918).
1872      	The death of Kamehameha V ends the Kamehameha dynasty of Hawaiian kings.
1872      	The first woman impressionist artist Berthe Morisot paints The Cradle.
1873      	Englishman Maj. Walter Clopton Wingfield invents lawn tennis.
1873      	French novelist Jules Verne publishes Around the World in Eighty Days.
1873      	The Pacific Scandal in Canada causes the collapse of the Conservative government.
1873      	The Panic of 1873 leads to 5 years of economic depression in the U.S.
1874      	Benjamin Disraeli becomes the Conservative prime minister of Britain.
1874      	English author Thomas Hardy publishes Far from the Madding Crowd.
1874      	French impressionist artist Pierre Auguste Renoir paints La Loge (The Box).
1874      	The Comanche, Kiowa and other Indian tribes attack Adobe Walls in Texas.
1874      	The Greenback party advocates currency reform in the U.S.
1874      	The first exhibition of impressionist paintings is held in Paris.
1875      	American author Mark Twain publishes Tom Sawyer.
1875      	Britain buys Suez Canal shares from the bankrupt Egyptian leader Ismail Pasha.
1875      	Georges Bizet's opera Carmen is performed in Paris.
1875      	Mary Baker Eddy, founder of Christian Science, publishes Science and Health.
1875      	The Bourbon monarchy is restored in Spain under Alfonso XII.
1876      	Abd al-Hamid II assumes his rule as the last Ottoman sultan.
1876      	Alexander Graham Bell patents his invention of the telephone.
1876      	British philosopher Herbert Spencer begins publishing the Principles of Sociology.
1876      	Colorado is inaugurated as the 38th state of the Union.
1876      	General Porfirio Diaz seizes power as the dictator of Mexico.
1876      	German archaeologist Heinrich Schliemann excavates the ancient city of Mycenae.
1876      	Impressionist artist Alfred Sisley paints Flood at the Port of Marly.
1876      	Japan forces Korea to open up to foreign trade, countering the influence of China.
1876      	Johann Strauss Jr. composes his waltz The Beautiful Blue Danube.
1876      	Queen Victoria assumes the title of Empress of India.
1876      	Sioux Indians defeat General Custer at the Battle of Little Bighorn.
1876      	The Bayreuth musical festival opens with a performance of Wagner's Ring cycle.
1876      	The U.S. Centennial Exposition of 1876 is held in Fairmount Park, Philadelphia.
1877      	Britain annexes Transvaal in South Africa.
1877      	Chief Joseph leads the Nez Perce tribe against the U.S. Army.
1877      	Hayes is inaugurated as the 19th U.S. president; Wheeler becomes vice-president
1877      	Italian astronomer Giovanni Schiaparelli observes canali (channels) on Mars.
1877      	Tchaikovsky's Swan Lake is performed by the Bolshoi Ballet in Moscow.
1877      	The All-England lawn tennis championship is played at Wimbledon for the first time.
1877      	The Japanese army suppresses a samurai revolt led by Saigo Takamori.
1877      	Thomas Edison invents the phonograph.
1877      	Turkish suppression of Balkan nationalists leads to a new Russo-Turkish War.
1878      	Ismail Pasha presents Cleopatra's Needles to Britain (1878) and the U.S. (1880).
1878      	Serbia, Montenegro and Romania are granted independence from Turkey.
1878      	The Congress of Berlin reverses Russian gains from the San Stefano Treaty.
1878      	The D'Oyly Carte Opera Company performs Gilbert and Sullivan's H.M.S. Pinafore.
1878      	The Russo-Turkish War ends; The Treaty of San Stefano is imposed on Turkey.
1878      	The second Anglo-Afghan War begins.
1878      	Turkey's provinces of Bosnia and Hercegovina are placed under Austrian administration.
1879      	Belgian king Leopold II sponsors Henry Morton Stanley's expedition to the Congo.
1879      	Cetewayo's Zulus defeat the British at Isandhlwana, but are beaten at Ulundi.
1879      	Charles Stewart Parnell leads the Home Rule for Ireland party.
1879      	General Roca defeats the Patagonian Indians, opening the Pampas for settlement.
1879      	Impressionist artist Edgar Degas paints Ballerina Posing for a Photograph.
1879      	Norwegian playwright Henrik Ibsen writes A Doll's House.
1879      	Tawfiq Pasha succeeds his father Ismail Pasha as khedive (viceroy) of Egypt.
1879      	Territorial disputes lead to the War of the Pacific between Chile and Peru.
1879      	Thomas Edison develops the first workable incandescent lamp (light bulb).
1880      	American impressionist artist Mary Cassatt exhibits A Woman in Black at the Opera.
1880      	Australian bushranger Ned Kelly is hanged for murder.
1880      	Boer (Afrikaner) uprisings begin against the British in Transvaal, South Africa.
1880      	France annexes the Pacific island of Tahiti.
1880      	French novelist Emile Zola writes Nana, a portrait of a prostitute.
1880      	German composer Jacques Offenbach writes the opera Tales of Hoffmann.
1880      	Gladstone succeeds Disraeli as British prime minister.
1880      	Russian composer Peter Ilich Tchaikovsky writes the 1812 Overture.
1881      	Alexander II is assassinated by narodniki revolutionaries in Russia.
1881      	Chester A. Arthur is inaugurated as the 21st U.S. president.
1881      	Ferdinand de Lesseps begins an abortive attempt to build the Panama Canal.
1881      	Garfield is inaugurated as the 20th U.S. president; Arthur becomes vice-president.
1881      	Japanese statesman Itagaki Taisuke founds the Jiyuto (Liberal party).
1881      	Lillie Langtry, mistress of the Prince of Wales, makes her acting debut.
1881      	President Garfield is assassinated by Charles J. Guiteau.
1881      	The Sudanese under Mahdi Muhammad Ahmad overthrow Egyptian rule.
1881      	The first U.S. tennis championship is held in Newport, R.I.
1882      	A Triple Alliance is established between Austria, Italy and Germany.
1882      	Edison's New York plant begins supplying 59 customers with electricity.
1882      	Impressionist artist Edouard Manet completes the Bar at the Folies-Bergere.
1882      	Japanese statesman Okuma Shigenobu founds the Kaishinto, or Progressive, party.
1882      	The British take control of Egypt, suppressing uprisings against Tawfiq Pasha.
1882      	The U.S. begins to restrict immigration with the Chinese Exclusion Acts.
1883      	Buffalo Bill Cody organizes his Wild West show.
1883      	Cyrus H. K. Curtis publishes the Lady's Home Journal magazine.
1883      	German philosopher Frederich Wilhelm Nietzsche begins Thus Spake Zarathustra.
1883      	Paul Kruger becomes president of the Boer republic of the Transvaal in South Africa.
1883      	Russian scientist Tsiolkovsky proves that a rocket could work in the vacuum of space.
1883      	The Brooklyn Bridge is completed in New York.
1883      	The Fabian Society is founded in London to spread socialist ideas.
1883      	The Island volcano of Krakatoa explodes in Indonesia, causing 36,000 deaths.
1883      	The first skyscraper (10 stories) is built in Chicago by William LeBaron Jenney.
1884      	American author Mark Twain publishes the Adventures of Huckleberry Finn.
1884      	Belva Lockwood becomes the first woman nominated as a U.S. presidential candidate.
1884      	German East Africa is formed from Rwanda, Mozambique,Tanzania and Burundi.
1884      	Germany occupies South West Africa (Namibia).
1884      	Lewis E. Waterman invents the first fountain pen with an ink reservoir.
1885      	Boston Symphony Orchestra organizes its Promenade Concerts (the Boston Pops).
1885      	Cleveland is inaugurated as the 22nd U.S. president; Hendricks becomes vice-president.
1885      	French chemist Louis Pasteur develops a vaccine for rabies.
1885      	General Gordon is killed by Mahdist forces at the siege of Khartoum in Sudan.
1885      	Gottlieb Daimler develops the first motorcycle.
1885      	J. K. Stanley introduces his safety cycle, the basic model for the modern bicycle.
1885      	The Congo Free State (Zaire) becomes the possession of King Leopold II of Belgium.
1885      	The Indian National Congress movement is founded in Bombay.
1886      	Apache Indian chief Geronimo surrenders to General Nelson Miles.
1886      	Britain makes Burma a province of India after winning the Anglo-Burma War.
1886      	British prime minister Gladstone introduces an unsuccessful Home Rule bill for Ireland.
1886      	French sculptor Auguste Rodin completes The Kiss.
1886      	Gold is discovered in Transvaal, South Africa.
1886      	Jose Balmaceda becomes president of Chile.
1886      	Samuel Gompers organizes the American Federation of Labor.
1886      	The Anglo-German Agreement recognizes German control over Tanganyika (Tanzania).
1886      	The Statue of Liberty is unveiled in New York Harbor.
1887      	Arthur Conan Doyle publishes the first Sherlock Holmes story.
1887      	France creates the Union of Indochina (most of modern day Vietnam and Kampuchea).
1887      	The Michelson-Morley experiment confirms the absence of ether.
1888      	A patent is issued to American inventor John H. Loud for the first ball-point pen.
1888      	American inventor George Eastman introduces the Kodak box camera.
1888      	Britain unites its Caribbean colonies of Trinidad and Tobago.
1888      	Dutch artist Vincent van Gogh paints Still Life With Sunflowers.
1888      	Jack the Ripper murders seven women in London.
1888      	Russian composer Nikolai Rimsky-Korsakov writes Scheherazade.
1888      	The National Geographic Magazine is published for the first time.
1888      	William II succeeds Frederick III as emperor of Germany.
1889      	Benjamin Harrison is inaugurated as the 23rd U.S. president.
1889      	Crown Prince Rudolf of Austria commits suicide at Mayerling.
1889      	German revolutionary Rosa Luxemburg is exiled in Switzerland.
1889      	Gustave Eiffel designs the Eiffel Tower for the Paris Exposition.
1889      	Japan's first prime minister Ito Hirobumi introduces the Meiji Constitution.
1889      	Montana is inaugurated as the 41st state; Washington is inaugurated as the 42nd state.
1889      	North Dakota and South Dakota are inaugurated as the 39th and 40th states.
1889      	Pedro II emperor of Brazil is overthrown in a coup; Brazil is declared a republic.
1890      	American naval officer Alfred Mahan publishes The Influence of Sea Power upon History.
1890      	American psychologist William James publishes The Principles of Psychology.
1890      	Cecil Rhodes becomes prime minister of the Cape Colony in South Africa.
1890      	Claude Debussy begins composing Suite Bergamasque, including Clair de lune.
1890      	Dutch artist Vincent van Gogh commits suicide.
1890      	German chancellor Otto von Bismarck is dismissed by Emperor William II.
1890      	Idaho is inaugurated as the 43rd state; Wyoming is inaugurated as the 44th state.
1890      	Indian poet Rabindranath Tagore publishes Manasi (The Mind's Embodiment).
1890      	Photographer Jacob Riis documents New York's poor in How the Other Half Lives.
1890      	Sioux Indians are massacred at the Battle of Wounded Knee.
1890      	The British South Africa Company occupies Zimbabwe; conflicts begin with the Ndebele.
1890      	The Forth Railway Bridge is opened, replacing the Brooklyn Bridge as the longest span.
1890      	Zanzibar becomes a British protectorate.
1891      	Anglo-Irish author Oscar Wilde publishes his only novel The Picture of Dorian Gray.
1891      	English novelist Thomas Hardy writes Tess of the D'Urbervilles.
1891      	Eugene Dubois discovers the first Homo erectus remains on Java in Indonesia.
1891      	French postimpressionist artist Paul Gauguin travels to Tahiti.
1891      	James Naismith devises the game of basketball in Springfield, Mass.
1891      	The American Express Company introduces the first traveler's checks.
1892      	French artist Henri de Toulouse-Lautrec paints At the Moulin Rouge.
1892      	Impressionist artist Paul Cezanne completes the Card Players.
1892      	James J. Corbett wins the heavyweight boxing championship from John L. Sullivan.
1892      	The San Francisco Examiner begins printing the first newspaper comic strip.
1892      	Writer and political revolutionary Jose Marti founds the Cuban Revolutionary party.
1893      	American artist Louis Comfort Tiffany begins producing Art Nouveau glassware.
1893      	Cleveland is inaugurated as the 24th U.S. president; Hendricks becomes vice-president.
1893      	France adds Laos to the Union of Indochina.
1893      	Gladstone's second Irish Home Rule Bill is vetoed by the House of Lords in Britain.
1893      	Queen Liliuokalani is ousted in Hawaii; Sanford B. Dole, is elected president (1894).
1893      	The Ivory Coast becomes a French colony.
1893      	Victor Horta's Tassel House in Brussels initiates the Art Nouveau architectural style.
1894      	Britain establishes a protectorate over Buganda and conquers the rest of Uganda.
1894      	Czech decorative artist Alfons Mucha designs a poster of Sarah Bernhardt.
1894      	English artist Aubrey Beardsley illustrates Oscar Wilde's Salome.
1894      	English author Rudyard Kipling publishes The Jungle Book.
1894      	Percival Lowell builds an observatory to study the Martian canals.
1894      	Rebellion in Korea begins the First Sino-Japanese War.
1894      	The arrest of army captain Albert Dreyfus creates a political crisis in France.
1894      	Thousands of Armenians are massacred in Turkey.
1895      	Anglo-Irish playwright Oscar Wilde writes The Importance of Being Earnest.
1895      	Japan defeats China; the Shimonoseki Treaty establishes Korean independence.
1895      	Louis and Auguste Lumiere show the first motion pictures to a Paris cafe audience.
1895      	Russian revolutionary Vladimir Ilich Lenin is exiled to Siberia.
1895      	Sir Henry Irving becomes the first British actor to be knighted.
1895      	The American Bowling Congress (ABC) is founded.
1895      	The Cuban War of Independence begins against Spain; Jose Marti is killed in battle.
1895      	The Jameson Raid on the Boer republic of Transvaal increases anti-British hostility.
1895      	The first list of best-selling books is published by The Bookman magazine.
1895      	X rays are discovered by German physicist Wilhelm C. Roentgen.
1896      	A tsunami (tidal wave) kills 27,000 people in Japan.
1896      	Italian composer Giacomo Puccini writes the opera La Boheme.
1896      	John Philip Sousa composes The Stars and Stripes Forever.
1896      	King Menelik II defeats the Italians at Adwa, maintaining Ethiopian independence.
1896      	The first modern Olympic Games are held at Athens in Greece; 13 countries compete.
1896      	Utah is inaugurated as the 45th state of the Union.
1897      	American comic strip The Katzenjammer Kids is begun by Rudolph Dirks.
1897      	Austrian artist Gustav Klimt helps to found the Vienna Secession group.
1897      	British physician Havelock Ellis begins his Studies in the Psychology of Sex.
1897      	English author Rudyard Kipling publishes Captains Courageous.
